FirstAuthor,Year,Journal,doi,ColourMap
Kudela,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403258,NA
Shuren,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403164,greyscale
Kawada,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403160,jet
Jouny,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403154,jet
Ansari-Asl,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403142,NA
Wang,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403141,NA
Myers,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1404293,jet
Wang,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1404213,greyscale
Rankine,2007,IEEE transactions on bio-medical engineering,10.1109/TBME.2006.886667,jet
Musizza,2007,The Journal of physiology,10.1113/jphysiol.2006.126748,hot
Trujillo,2007,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2006.11.009,greyscale
Rankine,2007,Medical & biological engineering & computing,10.1007/s11517-006-0143-0,jet-like
Deiber,2007,Journal of cognitive neuroscience,10.1162/jocn.2007.19.1.158,jet
Mørup,2007,Journal of neuroscience methods,10.1016/j.jneumeth.2006.11.008,greyscale
Tzur,2008,Behavioural brain research,10.1016/j.bbr.2008.11.041,RdYlBu
Sinai,2008,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2008.10.152,jet
Tsuchiya,2008,PloS one,10.1371/journal.pone.0003892,jet
Barry,2008,Biological psychology,10.1016/j.biopsycho.2008.10.009,jet
Chen,2008,Cognitive neurodynamics,10.1007/s11571-008-9047-z,jet
Fründ,2008,Cognitive neurodynamics,10.1007/s11571-008-9043-3,Blues
Vialatte,2008,Physiological measurement,10.1088/0967-3334/29/12/007,NA
Congedo,2008,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2008.09.007,NA
Ferree,2008,NeuroImage,10.1016/j.neuroimage.2008.09.020,jet
De Vico Fallani,2008,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2008.2006196,jet
Bigdely-Shamlo,2008,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2008.2003381,hot
Hsu,2008,Journal of neuroscience methods,10.1016/j.jneumeth.2008.09.014,jet
Stefanics,2008,Neuroscience,10.1016/j.neuroscience.2008.08.066,greyscale
Kortelainen,2008,Neuroscience letters,10.1016/j.neulet.2008.09.056,NA
Li,2008,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2008.08.006,jet
Koubeissi,2008,Epilepsy & behavior : E&B,10.1016/j.yebeh.2008.08.021,NA
Harmony,2008,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2008.07.020,greyscale
Gobbelé,2008,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e3181879d81,NA
Mu,2008,Brain research,10.1016/j.brainres.2008.07.113,NA
Nazarpour,2008,IEEE transactions on bio-medical engineering,10.1109/TBME.2008.919847,NA
Herman,2008,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2008.926694,jet
Roach,2008,Schizophrenia bulletin,10.1093/schbul/sbn093,RdBu
Edgar,2008,Psychophysiology,10.1111/j.1469-8986.2008.00682.x,NA
Ford,2008,Schizophrenia bulletin,10.1093/schbul/sbn090,jet
Slobounov,2008,Neuroscience letters,10.1016/j.neulet.2008.07.021,jet
Knyazev,2008,Brain research,10.1016/j.brainres.2008.06.108,jet
Teale,2008,NeuroImage,10.1016/j.neuroimage.2008.06.020,jet
Kamarajan,2008,Brain research,10.1016/j.brainres.2008.06.051,jet
Ergen,2008,Neuroscience letters,10.1016/j.neulet.2008.05.054,jet
Willems,2008,Brain research,10.1016/j.brainres.2008.04.065,jet
Arnfred,2008,Brain research,10.1016/j.brainres.2008.03.057,jet-like
Mouraux,2008,Magnetic resonance imaging,10.1016/j.mri.2008.01.011,jet-like
Okazaki,2008,Neuroscience research,10.1016/j.neures.2008.03.010,greyscale
Vuckovic,2008,Medical & biological engineering & computing,10.1007/s11517-008-0345-8,greyscale
Cui,2008,IEEE transactions on bio-medical engineering,10.1109/TBME.2008.918439,RdYlBu
Kuś,2008,Acta neurobiologiae experimentalis, ,jet
Dalal,2008,NeuroImage,10.1016/j.neuroimage.2008.01.023,jet
van Putten,2008,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e31816bdf85,RdBu
Fujioka,2008,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2007.12.004,greyscale
Alegre,2008,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e318162e544,jet
Tzallas,2008,Computational intelligence and neuroscience,10.1155/2007/80510,hot
Vialatte,2008,Consciousness and cognition,10.1016/j.concog.2008.01.004,jet
Hanslmayr,2008,Journal of cognitive neuroscience,10.1162/jocn.2008.20020,jet
Michels,2008,NeuroImage,10.1016/j.neuroimage.2007.12.048,greyscale
Mendez,2008,Medical & biological engineering & computing,10.1007/s11517-008-0309-z,jet
Bastiaansen,2008,Brain and language,10.1016/j.bandl.2007.10.006,jet-like
Deiber,2008,Neurobiology of aging,10.1016/j.neurobiolaging.2007.11.021,jet
Pérez-Alcázar,2008,Experimental neurology,10.1016/j.expneurol.2007.10.017,jet
Hauck,2008,Reviews in the neurosciences,10.1515/revneuro.2008.19.6.441,greyscale
Pourtois,2009,Neuropsychologia,10.1016/j.neuropsychologia.2009.12.020,greyscale
Bassani,2009,Advances in experimental medicine and biology,10.1007/978-0-387-79100-5_8,jet
Alegre,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.11.013,NA
Ahmed,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5335331,NA
Wan,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5335012,NOACCESS
Hajipour,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5334015,jet
Yao,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5333583,greyscale
Walbran,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5332431,NA
Guerrero-Mosquera,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2009.5332434,NA
Chennu,2009,PLoS computational biology,10.1371/journal.pcbi.1000576,jet
Bénar,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.10.019,jet
Storti,2009,Brain topography,10.1007/s10548-009-0117-2,jet
Kobayashi,2009,Epilepsy research,10.1016/j.eplepsyres.2009.10.008,jet
Allen,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.10.022,NA
Sueda,2009,Epilepsy research,10.1016/j.eplepsyres.2009.10.002,jet-like
Woldeit,2009,Neuroscience,10.1016/j.neuroscience.2009.11.002,greyscale
Van Zaen,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.10.018,greyscale
Straube,2009,Brain research,10.1016/j.brainres.2009.10.043,NA
Rodionov,2009,Journal of basic and clinical physiology and pharmacology,10.1515/jbcpp.2009.20.3.233,jet-like
Sitnikova,2009,Epilepsy research,10.1016/j.eplepsyres.2009.09.005,jet
Dockstader,2009,NeuroImage,10.1016/j.neuroimage.2009.09.035,jet
Lee,2009,Journal of affective disorders,10.1016/j.jad.2009.08.020,hot
Kokkinos,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.09.002,NA
Ktonas,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.09.001,NA
Akay,2009,Journal of neural engineering,10.1088/1741-2560/6/5/056006,jet
Gilmore,2009,Psychophysiology,10.1111/j.1469-8986.2009.00876.x,greyscale
Kortelainen,2009,Anesthesiology,10.1097/ALN.0b013e3181af633c,jet
Knyazev,2009,Aggressive behavior,10.1002/ab.20318,jet
Edwards,2009,Behavioral neuroscience,10.1037/a0016328,REMOVE
Malarvili,2009,IEEE transactions on bio-medical engineering,10.1109/TBME.2009.2026908,jet-like
Pinnegar,2009,IEEE transactions on bio-medical engineering,10.1109/TBME.2009.2026735,jet
Boonstra,2009,Neuroscience letters,10.1016/j.neulet.2009.07.043,jet-like
Spencer,2009,BMC neuroscience,10.1186/1471-2202-10-85,greyscale
Zygierewicz,2009,Acta neurobiologiae experimentalis, ,jet
Mayhew,2009,NeuroImage,10.1016/j.neuroimage.2009.06.080,jet
Lelic,2009,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e3181aed1a1,jet
Bastiaansen,2009,Journal of cognitive neuroscience,10.1162/jocn.2009.21283,jet
Rosburg,2009,NeuroImage,10.1016/j.neuroimage.2009.06.063,jet-like
Criado,2009,Neuroscience,10.1016/j.neuroscience.2009.06.039,jet
Busch,2009,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.0113-09.2009,NA
Allena,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.04.021,NA
Xu,2009,Medical engineering & physics,10.1016/j.medengphy.2009.04.005,jet
Edwards,2009,Journal of neurophysiology,10.1152/jn.90954.2008,GnBk
Vialatte,2009,BMC neuroscience,10.1186/1471-2202-10-46,greyscale
Hwang,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.01.015,jet
Bénar,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.03.005,jet
Wendling,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.04.021,jet
Yamanaka,2009,Journal of cognitive neuroscience,10.1162/jocn.2009.21258,jet
Kobayashi,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.03.020,jet
Grimault,2009,Human brain mapping,10.1002/hbm.20759,greyscale
Sitnikova,2009,Journal of neuroscience methods,10.1016/j.jneumeth.2009.04.006,jet
Zhou,2009,Computers in biology and medicine,10.1016/j.compbiomed.2009.02.004,jet-like
Kobayashi,2009,Epilepsy research,10.1016/j.eplepsyres.2009.03.011,jet
Krishnan,2009,NeuroImage,10.1016/j.neuroimage.2009.03.085,jet
Fang,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.02.173,jet
Kiebel,2009,Human brain mapping,10.1002/hbm.20775,jet
Dalal,2009,NeuroImage,10.1016/j.neuroimage.2009.01.017,jet
Aru,2009,Brain research,10.1016/j.brainres.2008.12.085,jet
Tzallas,2009,IEEE transactions on information technology in biomedicine : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TITB.2009.2017939,jet
Lindenberger,2009,BMC neuroscience,10.1186/1471-2202-10-22,jet
Sano,2009,The International journal of neuroscience,10.1080/00207450802325561,jet
Trébuchon-Da Fonseca,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2008.12.042,NA
Ubeyli,2009,Computers in biology and medicine,10.1016/j.compbiomed.2009.01.004,NA
Sieluzycki,2009,IEEE transactions on bio-medical engineering,10.1109/TBME.2008.2002151,jet
Zhang,2009,Biomedical engineering online,10.1186/1475-925X-8-4,jet
Fuentemilla,2009,Neuroreport,10.1097/WNR.0b013e32832326ed,jet
Wang,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4650514,NA
Ubeyli,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4650257,jet
Tang,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4650114,NA
Blinowska,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649962,jet
Hesse,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649737,jet
Thomas,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649353,NA
Stevenson,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649305,NA
Khlif,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649301,jet
Eskandari,2009,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2008.4649239,hot
Amor,2009,NeuroImage,10.1016/j.neuroimage.2008.12.011,jet
Katsumata,2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2008.11.024,jet-like
Domnick,2009,Journal of pain research,10.2147/jpr.s4860,hot
Lelic,2010,Journal of neuroscience methods,10.1016/j.jneumeth.2010.12.021,jet
Li,2010,Journal of neuroscience methods,10.1016/j.jneumeth.2010.11.027,NA
Machado,2010,NeuroImage,10.1016/j.neuroimage.2010.12.026,jet
Colrain,2010,Psychopharmacology,10.1007/s00213-010-2073-7,jet
Schmiedt-Fehr,2010,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.10.045,YlRdBlBuPr
Kennedy,2010,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2010.11.003,NA
Avendaño-Valencia,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5627999,jet
Weis,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5626484,greyscale
Panzica,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5626652,NA
Petrantonakis,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5626588,NA
Ostadabbas,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5626411,NA
Corona-Strauss,2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2010.5625950,greyscale
van Luijtelaar,2010,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.10.038,RdYlBu
Nariai,2010,Epilepsia,10.1111/j.1528-1167.2010.02786.x,jet
Bishop,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.2217-10.2010,jet
Milde,2010,Neuroscience letters,10.1016/j.neulet.2010.11.018,NA
Indic,2010,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.10.030,jet
Shiraishi,2010,Brain & development,10.1016/j.braindev.2010.10.019,jet
Basar-Eroglu,2010,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2010.10.011,greyscale
Zhang,2010,IEEE transactions on bio-medical engineering,10.1109/TBME.2010.2089686,NA
Gazit,2010,Journal of neuroscience methods,10.1016/j.jneumeth.2010.10.011,jet
Millman,2010,NeuroImage,10.1016/j.neuroimage.2010.10.005,RdYlBuBl
Hsu,2010,Journal of neuroscience methods,10.1016/j.jneumeth.2010.09.019,jet
Langdon,2010,Progress in biophysics and molecular biology,10.1016/j.pbiomolbio.2010.09.015,jet
Sponheim,2010,NeuroImage,10.1016/j.neuroimage.2010.09.007,NA
Wang,2010,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,greyscale
Tsai,2010,Neuroscience letters,10.1016/j.neulet.2010.09.004,NA
McTeague,2010,NeuroImage,10.1016/j.neuroimage.2010.08.080,jet
Shin,2010,Schizophrenia research,10.1016/j.schres.2010.08.008,NA
Chen,2010,IEEE transactions on information technology in biomedicine : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TITB.2010.2072963,jet
Ehm,2010,Psychophysiology,10.1111/j.1469-8986.2010.01087.x,jet
Fraiwan,2010,Journal of medical systems,10.1007/s10916-009-9406-2,greyscale
Wacker,2010,IEEE transactions on bio-medical engineering,10.1109/TBME.2010.2063028,jet
Mu,2010,NeuroImage,10.1016/j.neuroimage.2010.07.008,jet
Hashizume,2010,Hiroshima journal of medical sciences, ,NA
Yagyu,2010,Epilepsy research,10.1016/j.eplepsyres.2010.05.001,jet
Jacobs,2010,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.05.033,jet
Grützner,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.5434-09.2010,hot
Deng,2010,Journal of neural engineering,10.1088/1741-2560/7/4/046006,jet
Tarokh,2010,Sleep,10.1093/sleep/33.6.801,jet
Kawasaki,2010,The European journal of neuroscience,10.1111/j.1460-9568.2010.07217.x,hot
Kokkinos,2010,Journal of sleep research,10.1111/j.1365-2869.2010.00830.x,jet
Li,2010,Brain research,10.1016/j.brainres.2010.05.016,hot
Subha,2010,Journal of medical systems,10.1007/s10916-008-9231-z,jet
Tuncel,2010,Journal of medical systems,10.1007/s10916-008-9224-y,jet
Bai,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.5101-09.2010,NA
Alba,2010,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2010.2048579,jet
Wilson,2010,Brain and cognition,10.1016/j.bandc.2010.03.001,jet-like
Kobayashi,2010,Epilepsia,10.1111/j.1528-1167.2010.02565.x,jet
Yang,2010,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.02.153,jet
Aviyente,2010,Human brain mapping,10.1002/hbm.21000,NA
Shackman,2010,NeuroImage,10.1016/j.neuroimage.2010.03.037,YlRdPrBu
Tzur,2010,Psychophysiology,10.1111/j.1469-8986.2010.00967.x,greyscale
Guerrero-Mosquera,2010,Medical & biological engineering & computing,10.1007/s11517-010-0590-5,greyscale
Zhang,2010,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2010.2043856,jet
Rose,2010,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhq025,jet-like
Criado,2010,Behavioural brain research,10.1016/j.bbr.2010.02.021,jet
van Elk,2010,Frontiers in human neuroscience,10.3389/neuro.09.008.2010,NA
Hansen,2010,NeuroImage,10.1016/j.neuroimage.2010.02.021,jet
Gilmore,2010,Behavior genetics,10.1007/s10519-010-9343-3,jet
Backer,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.4391-09.2010,NOACCESS
Stroganova,2010,Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova, ,NA
Lindsen,2010,NeuroImage,10.1016/j.neuroimage.2010.01.079,jet-like
Andrew,2010,"Alcoholism, clinical and experimental research",10.1111/j.1530-0277.2009.01136.x,jet
Axmacher,2010,The European journal of neuroscience,10.1111/j.1460-9568.2009.07041.x,NA
Fraiwan,2010,Methods of information in medicine,10.3414/ME09-01-0054,greyscale
Straube,2010,Vision research,10.1016/j.visres.2009.12.013,jet
Dobosz,2010,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2009.12.005,jet
Tu,2011,Journal of neural engineering,10.1088/1741-2560/9/1/016008,jet
Fraiwan,2011,Computer methods and programs in biomedicine,10.1016/j.cmpb.2011.11.005,jet
Kanayama,2011,NeuroImage,10.1016/j.neuroimage.2011.11.076,NA
Ho,2011,Neuroscience letters,10.1016/j.neulet.2011.11.057,RdYlBu
Cervenka,2011,American journal of audiology,10.1044/1059-0889(2011/10-0036),jet
Selimbeyoglu,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2011.10.037,jet
Obleser,2011,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhr325,jet
Cavanagh,2011,Psychophysiology,10.1111/j.1469-8986.2011.01293.x,jet
de Cheveigné,2011,NeuroImage,10.1016/j.neuroimage.2011.10.084,jet
Hsu,2011,Experimental neurology,10.1016/j.expneurol.2011.10.013,jet
Meletti,2011,Neuropsychologia,10.1016/j.neuropsychologia.2011.10.020,jet
Yanagisawa,2011,Annals of neurology,10.1002/ana.22613,NA
Podlipsky,2011,Journal of neuroscience methods,10.1016/j.jneumeth.2011.10.015,jet
Grandchamp,2011,Frontiers in psychology,10.3389/fpsyg.2011.00236,jet
Donkers,2011,Frontiers in psychiatry,10.3389/fpsyt.2011.00051,jet
Sato,2011,Journal of cognitive neuroscience,10.1162/jocn_a_00142,jet
Rohenkohl,2011,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.3387-11.2011,jet
Tarokh,2011,Sleep,10.5665/SLEEP.1284,REMOVE
Hu,2011,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e318231c15c,greyscale
Stevenson,2011,Medical engineering & physics,10.1016/j.medengphy.2011.08.001,NA
Qin,2011,PloS one,10.1371/journal.pone.0023124,NA
Carter,2011,Schizophrenia bulletin,10.1093/schbul/sbr109,jet
Veluvolu,2011,Journal of neuroscience methods,10.1016/j.jneumeth.2011.08.035,jet
Henson,2011,Frontiers in human neuroscience,10.3389/fnhum.2011.00076,jet
van 't Klooster,2011,Brain : a journal of neurology,10.1093/brain/awr211,NA
Hsu,2011,International journal of neural systems,10.1142/S0129065711002870,jet-like
Clariá,2011,Physiological measurement,10.1088/0967-3334/32/8/021,jet
Schulz,2011,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhr186,jet-like
Kobayashi,2011,Epilepsia,10.1111/j.1528-1167.2011.03169.x,NA
Gramfort,2011,Information processing in medical imaging : proceedings of the ... conference,10.1007/978-3-642-22092-0_49,jet
Almeida,2011,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2011.06.006,jet
Burns,2011,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.0660-11.2011,jet
Cohen,2011,Frontiers in psychology,10.3389/fpsyg.2011.00030,jet
Cotic,2011,Journal of neural engineering,10.1088/1741-2560/8/4/046024,jet
De Pascalis,2011,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2011.06.005,NA
Gosseries,2011,Functional neurology, ,YlGrPrRd
Aguera,2011,Computational intelligence and neuroscience,10.1155/2011/158970,jet
Darriba,2011,Journal of cognitive neuroscience,10.1162/jocn_a_00073,jet
Vialatte,2011,International journal of Alzheimer's disease,10.4061/2011/259069,jet
Welcome,2011,Experimental brain research,10.1007/s00221-011-2734-8,hot
Thorpe,2011,Brain topography,10.1007/s10548-011-0186-x,jet-like
Marchi,2011,Epilepsia,10.1111/j.1528-1167.2011.03080.x,jet-like
Yordanova,2011,Brain : a journal of neurology,10.1093/brain/awr107,jet
Jmail,2011,Journal of neuroscience methods,10.1016/j.jneumeth.2011.04.028,jet
Peyk,2011,Computational intelligence and neuroscience,10.1155/2011/861705,jet
Bishop,2011,PloS one,10.1371/journal.pone.0018993,RdBu
Hamandi,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2011.04.017,jet
Pigorini,2011,Journal of neuroscience methods,10.1016/j.jneumeth.2011.04.013,RdBu
Fellinger,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2011.03.004,greyscale
Silfverhuth,2011,Seizure,10.1016/j.seizure.2011.03.006,jet
Zhang,2011,Developmental science,10.1111/j.1467-7687.2010.01004.x,NA
Schmiedt-Fehr,2011,Neuroscience letters,10.1016/j.neulet.2011.03.062,jet
Litvak,2011,Computational intelligence and neuroscience,10.1155/2011/852961,jet
Dalal,2011,Computational intelligence and neuroscience,10.1155/2011/758973,jet
Porcaro,2011,NeuroImage,10.1016/j.neuroimage.2011.03.008,jet
Brinkmeyer,2011,Addiction biology,10.1111/j.1369-1600.2010.00302.x,jet
Thorne,2011,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.6176-10.2011,jet
Schulz,2011,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhr027,jet
Khursheed,2011,NeuroImage,10.1016/j.neuroimage.2011.02.062,jet
Lu,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2011.01.050,NA
Rektor,2011,Epilepsy & behavior : E&B,10.1016/j.yebeh.2011.01.003,NA
Park,2011,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2011.2116805,jet
Lin,2011,Journal of neuroengineering and rehabilitation,10.1186/1743-0003-8-11,NA
Ramírez,2011,NeuroImage,10.1016/j.neuroimage.2011.02.002,jet
Yanagisawa,2011,Journal of neurosurgery,10.3171/2011.1.JNS101421,jet-like
Gaona,2011,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.4722-10.2011,jet
Hu,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.12.052,jet
Yang,2011,Neuroscience letters,10.1016/j.neulet.2011.01.061,jet
Bigot,2011,NeuroImage,10.1016/j.neuroimage.2011.01.033,jet
Oostenveld,2011,Computational intelligence and neuroscience,10.1155/2011/156869,NA
Gould,2011,Journal of neurophysiology,10.1152/jn.00653.2010,greyscale
Cao,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2010.12.042,NA
Lee,2011,Brain research,10.1016/j.brainres.2010.12.073,jet
